TOR,48
BRK,44
NYK,37
BOS,25
PHI,19
IND,56
CHI,48
CLE,33
DET,29
MIL,15
MIA,54
WAS,44
CHA,43
ATL,38
ORL,23
OKC,59
POR,54
MIN,40
DEN,36
UTA,25
LAC,57
GSW,51
PHO,48
SAC,28
LAL,27
SAS,62
HOU,54
MEM,50
DAL,49
NOP,34
TOT,0
