DAL,110,PHI,103
LAC,112,UTA,96
NOP,80,WAS,83
SAS,111,BOS,89
CHI,102,BRK,84
GSW,104,DET,93
TOR,122,LAL,129
MIA,86,NYK,79
ORL,93,PHO,90
MIN,93,POR,107
MEM,97,SAC,85
MIN,101,LAC,127
SAS,109,PHI,103
DEN,103,UTA,101
MIA,86,WAS,107
BOS,105,ATL,109
DAL,132,CHI,129
MIL,108,CLE,111
POR,105,DEN,103
LAL,106,DET,96
ORL,97,GSW,98
OKC,104,NOP,112
BRK,98,NYK,93
IND,99,PHO,116
TOR,117,SAC,109
DET,102,BOS,109
SAS,93,BRK,95
CHI,102,CHO,95
MEM,96,HOU,105
ORL,86,LAC,114
ATL,112,MIA,102
DAL,107,MIL,105
PHI,85,MIN,77
TOR,123,UTA,104
LAL,95,WAS,111
NOP,85,GSW,112
CLE,90,NYK,87
IND,82,POR,88
LAL,96,BOS,113
ATL,98,BRK,75
NYK,102,CHO,103
PHO,118,DAL,106
SAS,107,MEM,101
MIA,85,MIL,109
HOU,114,MIN,112
OKC,103,PHI,91
IND,101,SAC,102
CLE,105,TOR,91
ORL,98,UTA,93
DEN,89,WAS,119
GSW,112,CHI,102
PHI,108,DET,101
PHO,95,HOU,100
NOP,100,LAC,120
ORL,105,SAC,96
MIN,101,SAS,123
DEN,84,ATL,96
WAS,93,BOS,101
MIL,102,DAL,125
OKC,96,DET,94
NOP,104,LAL,87
MIA,87,MEM,103
POR,103,NYK,99
CLE,110,BRK,88
ATL,108,IND,92
PHO,120,LAC,121
GSW,102,MIN,86
UTA,92,SAC,101
DEN,107,TOR,112
BOS,132,WAS,133
TOR,101,CLE,105
POR,98,DET,86
SAC,95,LAL,98
DAL,105,MEM,114
NYK,93,NOP,104
MIL,101,OKC,114
MIA,103,PHO,97
SAS,96,UTA,100
PHI,79,ATL,95
BRK,80,CHI,105
BOS,87,CHO,96
NOP,107,DAL,112
MIA,82,DEN,102
HOU,93,GSW,105
LAC,103,IND,96
POR,82,MIN,90
WAS,91,ORL,89
NYK,95,SAS,109
CLE,94,OKC,103
HOU,113,SAC,109
ORL,81,ATL,87
NYK,101,BOS,95
PHI,70,BRK,88
POR,106,CHI,115
CHO,107,MEM,113
OKC,111,MIN,92
CLE,114,NOP,119
DET,105,PHO,103
LAL,112,SAS,110
IND,94,TOR,106
MIA,100,UTA,95
LAC,96,WAS,104
BRK,114,CHO,87
GSW,105,DAL,98
DEN,96,HOU,108
POR,95,IND,85
LAC,106,MIL,111
ATL,99,ORL,100
MEM,120,PHI,115
DET,95,SAC,90
SAS,99,DEN,91
CHI,93,MIA,75
LAL,100,MIN,94
GSW,128,NOP,122
TOR,95,NYK,90
PHO,88,OKC,112
UTA,84,WAS,93
CHI,86,ATL,93
CHO,88,CLE,97
LAL,91,IND,110
DET,91,LAC,113
BOS,105,PHI,87
MIL,96,PHO,94
SAS,95,POR,108
ORL,82,TOR,95
MIA,95,BRK,91
GSW,98,MEM,105
UTA,111,NOP,119
DAL,107,NYK,87
OKC,104,SAC,92
MIN,95,WAS,109
ORL,92,BOS,109
PHO,111,CHO,106
ATL,127,CLE,98
HOU,115,DEN,111
DAL,117,DET,106
IND,100,LAC,102
UTA,105,MIA,87
MIL,97,POR,104
MEM,117,SAS,116
BRK,89,TOR,105
NYK,97,CHI,103
OKC,109,GSW,114
NOP,99,HOU,90
MIL,108,SAC,107
MIN,98,BOS,114
BRK,91,CLE,95
LAC,106,DEN,109
TOR,110,DET,100
OKC,104,LAL,103
CHI,103,MEM,97
WAS,105,MIA,103
UTA,101,ORL,94
CHO,109,PHI,91
POR,129,SAS,119
UTA,86,CHO,104
SAS,93,DAL,99
IND,73,DEN,76
