Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Attendance,FG_x,FGA_x,FG%_x,3P_x,3PA_x,3P%_x,2P_x,2PA_x,2P%_x,FT_x,FTA_x,FT%_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,FG_y,FGA_y,FG%_y,3P_y,3PA_y,3P%_y,2P_y,2PA_y,2P%_y,FT_y,FTA_y,FT%_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y
Indiana Pacers,26.9,45,37,46,36,1.71,-0.09,1.62,104.6,102.9,96.6,0.268,0.27,0.536,0.49700000000000005,13.5,23.4,0.205,0.489,14.3,76.0,0.205,690733,37.4,84.9,0.44,8.3,24.8,0.33399999999999996,29.1,60.1,0.484,17.4,23.2,0.7509999999999999,10.7,33.8,44.5,20.8,7.7,4.5,15.8,20.4,100.5,38.3,85.2,0.45,8.1,23.0,0.35100000000000003,30.2,62.1,0.486,17.4,22.8,0.764,10.3,33.9,44.2,21.2,9.0,4.8,14.9,20.0,102.2
Miami Heat,28.4,48,34,46,36,1.65,-0.14,1.5,106.1,104.4,93.6,0.282,0.221,0.545,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,809350,37.2,84.3,0.442,7.4,21.2,0.34700000000000003,29.9,63.1,0.474,16.5,21.5,0.77,9.8,31.5,41.3,20.2,7.5,4.1,12.9,19.6,98.4,38.4,81.7,0.47,6.1,18.0,0.336,32.3,63.6,0.508,17.1,23.0,0.7440000000000001,9.8,34.3,44.1,20.8,6.7,6.5,14.1,18.3,100.0
Portland Trail Blazers,24.3,44,38,43,39,0.83,0.15,0.98,108.8,108.0,96.0,0.268,0.332,0.5479999999999999,0.511,13.2,25.9,0.20199999999999999,0.503,12.1,76.2,0.225,794085,,,,,,,,,,,,,,,,,,,,,,38.6,85.9,0.45,10.5,28.5,0.37,28.1,57.4,0.49,17.4,23.0,0.754,11.6,33.9,45.5,21.3,6.9,4.6,14.6,21.7,105.1
Detroit Pistons,25.0,44,38,43,39,0.61,-0.18,0.43,106.1,105.5,95.1,0.29600000000000004,0.303,0.522,0.491,12.2,27.0,0.19699999999999998,0.504,12.5,79.3,0.196,677138,38.8,84.2,0.461,7.3,20.5,0.355,31.5,63.7,0.495,16.5,21.0,0.7829999999999999,8.8,33.7,42.5,21.5,7.1,4.5,13.4,21.6,101.4,37.9,86.4,0.439,9.0,26.2,0.345,28.9,60.2,0.48,17.1,25.5,0.6679999999999999,12.5,33.9,46.3,19.4,7.0,3.7,13.5,19.0,102.0
Houston Rockets,27.8,41,41,42,40,0.2,0.14,0.34,108.3,108.1,97.6,0.35200000000000004,0.37,0.5529999999999999,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.21899999999999997,737244,39.0,85.1,0.45899999999999996,9.7,26.9,0.361,29.3,58.2,0.504,18.6,24.6,0.7559999999999999,11.8,32.8,44.6,24.6,9.0,4.9,16.6,22.5,106.4,37.7,83.5,0.452,10.7,30.9,0.34700000000000003,27.0,52.6,0.514,20.4,29.4,0.6940000000000001,11.3,31.7,43.1,22.2,10.0,5.2,15.9,21.8,106.5
Dallas Mavericks,30.3,42,40,40,42,-0.3,0.29,-0.02,106.7,107.0,94.3,0.265,0.33899999999999997,0.544,0.502,12.0,20.6,0.21100000000000002,0.504,12.8,76.2,0.198,825901,38.3,85.0,0.451,9.1,26.5,0.342,29.3,58.5,0.5,16.9,22.8,0.738,10.6,35.2,45.8,22.0,7.5,4.4,13.9,21.4,102.6,37.4,84.1,0.444,9.8,28.6,0.344,27.5,55.6,0.495,17.7,22.3,0.794,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5,102.3
Washington Wizards,27.3,41,41,40,42,-0.5,0.0,-0.5,105.3,105.8,98.5,0.263,0.282,0.544,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,725426,38.7,83.8,0.462,9.0,24.2,0.371,29.7,59.5,0.498,18.3,23.7,0.769,9.4,34.9,44.3,22.5,8.1,4.3,16.2,20.1,104.6,39.5,85.8,0.46,8.6,24.2,0.358,30.8,61.6,0.501,16.5,22.5,0.73,9.1,32.8,41.8,24.5,8.6,3.9,14.5,20.8,104.1
Chicago Bulls,27.6,42,40,37,45,-1.48,0.01,-1.46,105.0,106.5,95.7,0.24,0.244,0.526,0.48700000000000004,12.6,24.5,0.18899999999999997,0.485,10.7,74.9,0.182,894659,39.4,89.4,0.441,7.9,23.0,0.345,31.5,66.4,0.474,16.3,22.1,0.737,11.8,34.1,45.9,22.5,8.0,5.7,11.9,18.7,103.1,38.6,87.4,0.441,7.9,21.4,0.371,30.7,66.1,0.46399999999999997,16.5,21.0,0.787,11.1,35.2,46.3,22.8,6.0,5.7,13.9,18.8,101.6
Orlando Magic,23.9,35,47,36,46,-1.62,-0.06,-1.68,105.1,106.8,96.0,0.23199999999999998,0.255,0.5329999999999999,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,719275,38.4,83.5,0.46,8.9,24.9,0.359,29.5,58.6,0.503,17.9,24.0,0.746,10.1,34.1,44.3,23.2,7.6,5.5,15.1,18.3,103.7,39.5,86.8,0.455,7.8,22.2,0.35,31.8,64.7,0.49200000000000005,15.2,20.1,0.757,10.3,33.0,43.3,23.6,8.2,5.1,14.1,20.7,102.1
Memphis Grizzlies,30.5,42,40,35,47,-2.24,0.11,-2.14,105.4,107.8,93.3,0.295,0.222,0.524,0.47700000000000004,12.3,25.3,0.231,0.518,15.2,75.1,0.251,701894,35.9,78.8,0.456,9.7,26.6,0.365,26.2,52.1,0.503,19.7,25.7,0.768,10.1,33.1,43.2,21.9,7.0,5.7,16.2,21.1,101.3,36.8,83.6,0.44,6.1,18.5,0.331,30.7,65.1,0.47100000000000003,19.3,24.7,0.7829999999999999,11.2,30.5,41.6,20.7,8.8,4.3,13.3,21.7,99.1
Sacramento Kings,26.6,33,49,34,48,-2.48,0.16,-2.32,106.0,108.4,100.0,0.295,0.26,0.546,0.51,14.2,23.9,0.214,0.521,14.0,74.9,0.20199999999999999,707526,40.6,87.7,0.462,10.2,28.0,0.366,30.3,59.8,0.508,17.7,23.2,0.762,11.3,33.7,45.0,24.2,8.8,5.3,16.0,22.0,109.1,40.0,86.4,0.46399999999999997,8.0,22.4,0.359,32.0,64.0,0.5,18.5,25.5,0.725,10.6,33.7,44.2,24.5,8.9,4.5,16.2,20.4,106.6
New York Knicks,27.2,32,50,33,49,-2.73,0.0,-2.74,104.6,107.6,93.4,0.255,0.256,0.527,0.483,12.6,23.7,0.205,0.48700000000000004,10.5,75.8,0.204,812292,38.0,85.8,0.44299999999999995,7.6,22.4,0.341,30.3,63.4,0.479,17.5,23.2,0.754,10.9,33.3,44.2,20.8,7.2,4.2,11.3,18.5,101.1,36.9,84.0,0.439,7.4,21.5,0.34600000000000003,29.4,62.5,0.47100000000000003,17.2,21.4,0.805,10.4,34.0,44.4,20.5,5.7,5.7,13.4,19.7,98.4
Denver Nuggets,24.7,33,49,33,49,-3.1,0.29,-2.81,105.6,108.9,95.7,0.282,0.27699999999999997,0.531,0.489,13.2,25.8,0.21600000000000003,0.515,12.6,77.3,0.21600000000000003,577898,38.8,84.2,0.461,9.2,24.8,0.371,29.6,59.4,0.498,18.2,23.9,0.7609999999999999,9.7,32.9,42.7,23.5,8.0,6.3,13.7,20.9,105.0,37.7,85.4,0.442,8.0,23.7,0.33799999999999997,29.7,61.7,0.48200000000000004,18.5,24.1,0.7659999999999999,11.5,33.1,44.6,22.7,7.4,4.8,14.7,21.0,101.9
Minnesota Timberwolves,24.6,29,53,31,51,-3.54,0.15,-3.38,106.5,110.1,95.2,0.332,0.20199999999999999,0.5489999999999999,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2,581178,40.0,84.9,0.47100000000000003,9.0,25.5,0.355,30.9,59.4,0.52,17.0,22.5,0.757,10.7,31.2,41.9,22.6,7.8,5.2,14.9,21.6,106.0,37.7,81.3,0.46399999999999997,5.5,16.4,0.33799999999999997,32.2,64.9,0.496,21.4,27.0,0.792,10.0,31.5,41.6,23.4,8.0,4.6,15.0,20.7,102.4
New Orleans Pelicans,26.6,30,52,31,51,-3.79,0.24,-3.56,105.6,109.5,96.8,0.259,0.27699999999999997,0.537,0.498,12.3,21.2,0.201,0.523,12.7,78.8,0.225,688549,39.2,83.9,0.46799999999999997,9.2,24.9,0.369,30.0,59.0,0.51,18.8,24.0,0.7829999999999999,8.9,35.5,44.4,23.2,7.3,5.2,13.7,19.9,106.5,38.5,85.9,0.44799999999999995,8.6,23.8,0.36,29.9,62.1,0.48200000000000004,17.3,22.2,0.7759999999999999,9.5,33.1,42.6,22.2,7.7,4.2,13.4,20.9,102.7
Milwaukee Bucks,23.5,33,49,29,53,-4.18,0.2,-3.98,104.3,108.7,94.2,0.276,0.18899999999999997,0.537,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,621808,37.8,83.1,0.45399999999999996,9.3,26.5,0.35200000000000004,28.4,56.7,0.502,18.4,23.9,0.768,11.5,31.5,43.0,24.5,8.3,5.6,15.5,19.5,103.2,38.4,82.2,0.467,5.4,15.6,0.345,33.0,66.6,0.495,17.0,22.7,0.747,10.5,31.2,41.7,23.1,8.2,5.8,15.2,20.7,99.0
Phoenix Suns,26.0,23,59,24,58,-6.66,0.34,-6.32,102.2,109.0,98.5,0.271,0.302,0.526,0.48700000000000004,15.2,25.4,0.204,0.523,13.5,77.1,0.237,701405,39.1,83.8,0.467,9.4,24.9,0.377,29.7,58.9,0.505,19.9,26.5,0.7490000000000001,9.9,33.8,43.7,22.4,9.5,5.5,14.9,21.6,107.5,37.2,85.6,0.435,9.0,25.8,0.348,28.2,59.8,0.47200000000000003,17.5,23.2,0.7509999999999999,11.5,33.3,44.8,20.7,7.7,3.8,17.2,22.7,100.9
Brooklyn Nets,26.9,21,61,22,60,-7.35,0.24,-7.12,103.2,110.9,95.2,0.24600000000000002,0.218,0.527,0.49200000000000005,13.6,24.1,0.18600000000000003,0.534,13.1,75.7,0.17600000000000002,620142,40.8,85.2,0.479,9.5,25.6,0.369,31.3,59.6,0.526,15.0,19.6,0.763,10.2,33.2,43.4,24.5,8.8,5.2,14.2,18.4,106.0,38.2,84.4,0.45299999999999996,6.5,18.4,0.35200000000000004,31.8,66.0,0.48100000000000004,15.7,20.7,0.757,10.5,31.9,42.4,22.3,7.6,4.0,14.8,18.0,98.6
Los Angeles Lakers,26.5,17,65,17,65,-9.56,0.64,-8.92,101.6,111.6,95.6,0.292,0.29,0.509,0.46,12.5,23.1,0.228,0.523,11.6,74.7,0.20199999999999999,778877,40.5,85.6,0.473,8.5,24.6,0.34700000000000003,32.0,61.1,0.524,17.3,23.7,0.731,10.9,35.5,46.5,24.7,7.5,5.6,12.6,19.2,106.9,35.1,84.8,0.414,7.8,24.6,0.317,27.3,60.2,0.45399999999999996,19.3,24.7,0.7809999999999999,10.7,32.3,43.0,18.0,7.2,4.1,13.7,20.3,97.3
Philadelphia 76ers,23.3,10,72,16,66,-10.23,0.31,-9.92,98.8,109.2,97.9,0.26899999999999996,0.327,0.519,0.48700000000000004,14.8,20.6,0.18600000000000003,0.51,13.5,74.0,0.24,614650,39.7,85.4,0.46399999999999997,7.8,21.7,0.359,31.9,63.8,0.5,20.5,26.1,0.7859999999999999,11.1,36.4,47.6,23.4,8.7,5.7,15.1,19.2,107.6,36.2,84.0,0.431,9.3,27.5,0.33899999999999997,26.9,56.5,0.47600000000000003,15.7,22.6,0.6940000000000001,9.5,31.8,41.2,21.5,8.3,6.0,16.4,21.7,97.4
